"","site","IGBP.x","climate_koeppen","lat.x","lon.x","elev_meters.x","MAP","MAT"
"2","US-Wkg","GRA","Bsk",31.7365,-109.9419,1531,29.97,16.63
"5","US-SRG","GRA","Bsk",31.7894,-110.8277,1291,40.71,17.6
"7","US-NR1","ENF","Dfc",40.0329,-105.5464,3050,64.55,1.85
"9","US-Seg","GRA","Bsk",34.3623,-106.7019,1622,22.02,13.33
"11","US-Mpj","OSH","Bsk",34.4384,-106.2377,2138,29.88,10.26
"13","US-SRM","WSA","Bsk",31.8214,-110.8661,1120,31.11,18.29
"14","US-Me2","ENF","Csb",44.4523,-121.5574,1253,41.28,7.11
"17","US-Wjs","SAV","Bsk",34.4255,-105.8615,1931,28.71,11.01
"20","US-Vcp","ENF","Dfb",35.8624,-106.5974,2542,55.02,5
"23","US-Ses","OSH","Bsk",34.3349,-106.7442,1593,22.08,13.47
"24","US-Var","GRA","Csa",38.4133,-120.9508,129,48.57,15.97
"25","US-Ton","WSA","Csa",38.4309,-120.966,177,48.57,15.97
"30","US-Me6","ENF","Csb",44.3233,-121.6078,998,39.17,7.31
"44","US-GLE","ENF","Dfc",41.3665,-106.2399,3197,83.52,-0.68
