"","Site","Date","Extreme_Sink","Extreme_Source"
"1","US-NR1","2001-12-17",0,0
"2","US-NR1","2001-12-18",0,0
"3","US-NR1","2001-12-20",0,0
"4","US-NR1","2001-12-24",0,0
"5","US-NR1","2001-12-25",0,0
"6","US-NR1","2001-12-26",0,0
"7","US-NR1","2001-12-29",0,0
"8","US-NR1","2001-12-30",0,0
"9","US-NR1","2001-12-31",0,0
"10","US-NR1","2002-01-02",0,0
"11","US-NR1","2002-01-03",0,0
"12","US-NR1","2002-01-06",0,0
"13","US-NR1","2002-01-07",0,0
"14","US-NR1","2002-01-08",0,0
"15","US-NR1","2002-01-09",0,0
"16","US-NR1","2002-01-10",0,0
"17","US-NR1","2002-01-11",0,0
"18","US-NR1","2002-01-12",0,0
"19","US-NR1","2002-01-13",0,0
"20","US-NR1","2002-01-14",0,0
"21","US-NR1","2002-01-15",0,0
"22","US-NR1","2002-01-16",0,0
"23","US-NR1","2002-01-19",0,0
"24","US-NR1","2002-01-20",0,0
"25","US-NR1","2002-01-21",0,0
"26","US-NR1","2002-01-22",0,0
"27","US-NR1","2002-01-24",0,0
"28","US-NR1","2002-01-25",0,0
"29","US-NR1","2002-01-26",0,0
"30","US-NR1","2002-01-27",0,0
"31","US-NR1","2002-01-29",0,0
"32","US-NR1","2002-02-01",1,0
"33","US-NR1","2002-02-02",1,0
"34","US-NR1","2002-02-03",1,0
"35","US-NR1","2002-02-04",0,0
"36","US-NR1","2002-02-05",1,0
"37","US-NR1","2002-02-06",0,0
"38","US-NR1","2002-02-08",0,0
"39","US-NR1","2002-02-09",0,0
"40","US-NR1","2002-02-13",0,0
"41","US-NR1","2002-02-14",0,0
"42","US-NR1","2002-02-15",0,0
"43","US-NR1","2002-02-17",0,0
"44","US-NR1","2002-02-19",0,0
"45","US-NR1","2002-02-20",0,0
"46","US-NR1","2002-02-21",0,0
"47","US-NR1","2002-02-23",0,0
"48","US-NR1","2002-02-27",0,0
"49","US-NR1","2002-02-28",0,0
"50","US-NR1","2002-03-05",0,0
"51","US-NR1","2002-03-06",0,0
"52","US-NR1","2002-03-13",0,0
"53","US-NR1","2002-03-15",0,0
"54","US-NR1","2002-03-16",0,0
"55","US-NR1","2002-03-17",0,0
"56","US-NR1","2002-03-18",0,0
"57","US-NR1","2002-03-19",0,0
"58","US-NR1","2002-03-20",0,0
"59","US-NR1","2002-03-21",0,0
"60","US-NR1","2002-03-22",0,0
"61","US-NR1","2002-03-23",0,0
"62","US-NR1","2002-03-24",0,0
"63","US-NR1","2002-03-25",0,0
"64","US-NR1","2002-03-26",0,0
"65","US-NR1","2002-03-27",0,0
"66","US-NR1","2002-03-28",0,0
"67","US-NR1","2002-03-29",0,0
"68","US-NR1","2002-03-30",0,0
"69","US-NR1","2002-03-31",0,0
"70","US-NR1","2002-04-01",0,0
"71","US-NR1","2002-04-02",0,0
"72","US-NR1","2002-04-03",0,0
"73","US-NR1","2002-04-04",0,0
"74","US-NR1","2002-04-05",0,0
"75","US-NR1","2002-04-06",0,1
"76","US-NR1","2002-04-07",0,0
"77","US-NR1","2002-04-08",0,0
"78","US-NR1","2002-04-09",0,0
"79","US-NR1","2002-04-10",0,0
"80","US-NR1","2002-04-11",0,0
"81","US-NR1","2002-04-12",0,0
"82","US-NR1","2002-04-13",0,0
"83","US-NR1","2002-04-14",0,0
"84","US-NR1","2002-04-15",0,0
"85","US-NR1","2002-04-16",0,0
"86","US-NR1","2002-04-17",0,0
"87","US-NR1","2002-04-18",0,0
"88","US-NR1","2002-04-19",0,0
"89","US-NR1","2002-04-20",0,0
"90","US-NR1","2002-04-21",0,0
"91","US-NR1","2002-04-22",0,0
"92","US-NR1","2002-04-23",0,0
"93","US-NR1","2002-04-24",0,0
"94","US-NR1","2002-04-25",0,0
"95","US-NR1","2002-04-26",0,0
"96","US-NR1","2002-04-27",0,0
"97","US-NR1","2002-04-28",0,0
"98","US-NR1","2002-04-29",0,0
"99","US-NR1","2002-04-30",0,0
"100","US-NR1","2002-05-01",0,0
"101","US-NR1","2002-05-02",0,0
"102","US-NR1","2002-05-03",0,0
"103","US-NR1","2002-05-04",0,0
"104","US-NR1","2002-05-05",0,0
"105","US-NR1","2002-05-06",0,0
"106","US-NR1","2002-05-07",0,0
"107","US-NR1","2002-05-08",0,0
"108","US-NR1","2002-05-09",0,0
"109","US-NR1","2002-05-10",0,0
"110","US-NR1","2002-05-11",0,0
"111","US-NR1","2002-05-12",0,0
"112","US-NR1","2002-05-13",0,0
"113","US-NR1","2002-05-14",0,0
"114","US-NR1","2002-05-15",0,0
"115","US-NR1","2002-05-16",0,0
"116","US-NR1","2002-05-17",0,0
"117","US-NR1","2002-05-18",0,0
"118","US-NR1","2002-05-19",0,0
"119","US-NR1","2002-05-20",0,0
"120","US-NR1","2002-05-21",0,0
"121","US-NR1","2002-05-22",0,0
"122","US-NR1","2002-05-23",0,0
"123","US-NR1","2002-05-24",0,0
"124","US-NR1","2002-05-25",0,0
"125","US-NR1","2002-05-26",0,0
"126","US-NR1","2002-05-27",0,0
"127","US-NR1","2002-05-28",0,0
"128","US-NR1","2002-05-29",0,0
"129","US-NR1","2002-05-30",0,1
"130","US-NR1","2002-05-31",0,1
"131","US-NR1","2002-06-01",0,1
"132","US-NR1","2002-06-02",0,0
"133","US-NR1","2002-06-03",0,0
"134","US-NR1","2002-06-04",0,0
"135","US-NR1","2002-06-05",0,0
"136","US-NR1","2002-06-06",0,0
"137","US-NR1","2002-06-07",0,0
"138","US-NR1","2002-06-08",0,0
"139","US-NR1","2002-06-09",0,0
"140","US-NR1","2002-06-10",1,0
"141","US-NR1","2002-06-11",1,0
"142","US-NR1","2002-06-12",0,0
"143","US-NR1","2002-06-13",0,0
"144","US-NR1","2002-06-14",0,0
"145","US-NR1","2002-06-15",0,0
"146","US-NR1","2002-06-16",0,0
"147","US-NR1","2002-06-17",0,0
"148","US-NR1","2002-06-18",0,0
"149","US-NR1","2002-06-19",0,0
"150","US-NR1","2002-06-20",0,0
"151","US-NR1","2002-06-21",0,0
"152","US-NR1","2002-06-22",0,0
"153","US-NR1","2002-06-23",0,0
"154","US-NR1","2002-06-24",0,0
"155","US-NR1","2002-06-25",0,0
"156","US-NR1","2002-06-26",0,0
"157","US-NR1","2002-06-27",0,0
"158","US-NR1","2002-06-28",0,0
"159","US-NR1","2002-06-29",0,0
"160","US-NR1","2002-06-30",0,0
"161","US-NR1","2002-07-01",0,0
"162","US-NR1","2002-07-02",0,0
"163","US-NR1","2002-07-03",0,0
"164","US-NR1","2002-07-04",0,0
"165","US-NR1","2002-07-05",0,0
"166","US-NR1","2002-07-06",0,0
"167","US-NR1","2002-07-07",0,0
"168","US-NR1","2002-07-08",0,1
"169","US-NR1","2002-07-09",0,1
"170","US-NR1","2002-07-10",0,0
"171","US-NR1","2002-07-11",0,0
"172","US-NR1","2002-07-12",0,0
"173","US-NR1","2002-07-13",0,0
"174","US-NR1","2002-07-14",0,0
"175","US-NR1","2002-07-15",0,0
"176","US-NR1","2002-07-16",0,0
"177","US-NR1","2002-07-17",0,0
"178","US-NR1","2002-07-18",0,0
"179","US-NR1","2002-07-19",0,0
"180","US-NR1","2002-07-20",0,0
"181","US-NR1","2002-07-21",0,0
"182","US-NR1","2002-07-22",0,0
"183","US-NR1","2002-07-23",0,0
"184","US-NR1","2002-07-24",0,0
"185","US-NR1","2002-07-25",0,0
"186","US-NR1","2002-07-26",0,0
"187","US-NR1","2002-07-27",0,0
"188","US-NR1","2002-07-28",0,0
"189","US-NR1","2002-07-29",0,0
"190","US-NR1","2002-07-30",0,0
"191","US-NR1","2002-07-31",0,0
"192","US-NR1","2002-08-01",0,0
"193","US-NR1","2002-08-02",0,0
"194","US-NR1","2002-08-03",0,0
"195","US-NR1","2002-08-04",0,0
"196","US-NR1","2002-08-05",0,0
"197","US-NR1","2002-08-06",0,0
"198","US-NR1","2002-08-07",0,0
"199","US-NR1","2002-08-08",1,1
"200","US-NR1","2002-08-09",0,0
"201","US-NR1","2002-08-10",0,0
"202","US-NR1","2002-08-11",0,0
"203","US-NR1","2002-08-12",0,0
